"GEO_ID","NAME","B25014I_001E","B25014I_001M","B25014I_002E","B25014I_002M","B25014I_003E","B25014I_003M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!1.00 or less occupants per room","Margin of Error!!Total!!1.00 or less occupants per room","Estimate!!Total!!1.01 or more occupants per room","Margin of Error!!Total!!1.01 or more occupants per room"
"8600000US01260","ZCTA5 01260","0","12","0","12","0","12"
"8600000US01262","ZCTA5 01262","9","15","9","15","0","12"
"8600000US01264","ZCTA5 01264","0","12","0","12","0","12"
"8600000US01266","ZCTA5 01266","9","9","9","9","0","12"
"8600000US01267","ZCTA5 01267","44","38","44","38","0","17"
"8600000US01270","ZCTA5 01270","0","12","0","12","0","12"
"8600000US01301","ZCTA5 01301","455","99","411","85","44","64"
"8600000US01330","ZCTA5 01330","10","15","10","15","0","12"
"8600000US01331","ZCTA5 01331","99","73","68","58","31","46"
"8600000US01337","ZCTA5 01337","0","12","0","12","0","12"
"8600000US01338","ZCTA5 01338","0","12","0","12","0","12"
"8600000US01339","ZCTA5 01339","4","5","4","5","0","12"
"8600000US01340","ZCTA5 01340","4","5","4","5","0","12"
"8600000US01341","ZCTA5 01341","0","12","0","12","0","12"
"8600000US01342","ZCTA5 01342","0","12","0","12","0","12"
"8600000US01343","ZCTA5 01343","0","12","0","12","0","12"
"8600000US01344","ZCTA5 01344","12","9","12","9","0","12"
"8600000US01346","ZCTA5 01346","2","3","2","3","0","12"
"8600000US01347","ZCTA5 01347","0","12","0","12","0","12"
"8600000US01349","ZCTA5 01349","0","12","0","12","0","12"
"8600000US01350","ZCTA5 01350","0","12","0","12","0","12"
"8600000US01351","ZCTA5 01351","6","11","6","11","0","12"
"8600000US01354","ZCTA5 01354","3","4","3","4","0","12"
"8600000US01355","ZCTA5 01355","4","6","4","6","0","12"
"8600000US01360","ZCTA5 01360","18","24","18","24","0","12"
"8600000US01364","ZCTA5 01364","29","23","29","23","0","17"
"8600000US01366","ZCTA5 01366","2","4","2","4","0","12"
"8600000US01367","ZCTA5 01367","3","4","3","4","0","12"
"8600000US01368","ZCTA5 01368","0","12","0","12","0","12"
"8600000US01370","ZCTA5 01370","14","15","14","15","0","12"
"8600000US01373","ZCTA5 01373","37","35","37","35","0","12"
"8600000US01375","ZCTA5 01375","79","50","79","50","0","12"
"8600000US01376","ZCTA5 01376","130","71","130","71","0","17"
"8600000US01378","ZCTA5 01378","7","7","7","7","0","12"
"8600000US01379","ZCTA5 01379","5","8","5","8","0","12"
"8600000US01420","ZCTA5 01420","3047","287","2764","303","283","94"
"8600000US01430","ZCTA5 01430","0","17","0","17","0","17"
"8600000US01431","ZCTA5 01431","21","27","21","27","0","12"
"8600000US01432","ZCTA5 01432","161","121","161","121","0","17"
"8600000US01434","ZCTA5 01434","0","12","0","12","0","12"
"8600000US01436","ZCTA5 01436","35","54","35","54","0","12"
"8600000US01438","ZCTA5 01438","0","12","0","12","0","12"
"8600000US01440","ZCTA5 01440","414","129","414","129","0","23"
"8600000US01450","ZCTA5 01450","64","62","64","62","0","19"
"8600000US01451","ZCTA5 01451","10","16","10","16","0","12"
"8600000US01452","ZCTA5 01452","33","29","33","29","0","12"
"8600000US01453","ZCTA5 01453","2816","318","2559","311","257","165"
"8600000US01460","ZCTA5 01460","46","36","35","31","11","18"
"8600000US01462","ZCTA5 01462","197","119","197","119","0","19"
"8600000US01463","ZCTA5 01463","58","45","58","45","0","19"
"8600000US01464","ZCTA5 01464","70","71","70","71","0","17"
"8600000US01467","ZCTA5 01467","0","12","0","12","0","12"
"8600000US01468","ZCTA5 01468","38","55","38","55","0","12"
"8600000US01469","ZCTA5 01469","24","27","24","27","0","17"
"8600000US01473","ZCTA5 01473","14","22","14","22","0","17"
"8600000US01474","ZCTA5 01474","0","12","0","12","0","12"
"8600000US01475","ZCTA5 01475","106","59","106","59","0","19"
"8600000US01501","ZCTA5 01501","257","104","257","104","0","19"
"8600000US01503","ZCTA5 01503","6","9","6","9","0","12"
"8600000US01504","ZCTA5 01504","69","54","59","51","10","16"
"8600000US01505","ZCTA5 01505","8","11","8","11","0","12"
"8600000US01506","ZCTA5 01506","0","12","0","12","0","12"
"8600000US01507","ZCTA5 01507","80","70","80","70","0","19"
"8600000US01510","ZCTA5 01510","628","135","499","169","129","80"
"8600000US01515","ZCTA5 01515","9","12","9","12","0","12"
"8600000US01516","ZCTA5 01516","171","138","171","138","0","17"
"8600000US01518","ZCTA5 01518","21","33","21","33","0","12"
"8600000US01519","ZCTA5 01519","78","60","78","60","0","17"
"8600000US01520","ZCTA5 01520","122","59","122","59","0","19"
"8600000US01521","ZCTA5 01521","15","16","15","16","0","12"
"8600000US01522","ZCTA5 01522","57","51","31","30","26","43"
"8600000US01523","ZCTA5 01523","82","84","82","84","0","17"
"8600000US01524","ZCTA5 01524","46","55","46","55","0","17"
"8600000US01525","ZCTA5 01525","17","29","0","12","17","29"
"8600000US01527","ZCTA5 01527","21","20","21","20","0","19"
"8600000US01529","ZCTA5 01529","13","14","13","14","0","12"
"8600000US01531","ZCTA5 01531","0","12","0","12","0","12"
"8600000US01532","ZCTA5 01532","107","68","107","68","0","19"
"8600000US01534","ZCTA5 01534","164","78","152","81","12","19"
"8600000US01535","ZCTA5 01535","10","16","10","16","0","12"
"8600000US01536","ZCTA5 01536","125","63","125","63","0","17"
"8600000US01537","ZCTA5 01537","13","19","13","19","0","12"
"8600000US01540","ZCTA5 01540","131","75","131","75","0","19"
"8600000US01541","ZCTA5 01541","10","16","10","16","0","12"
"8600000US01542","ZCTA5 01542","0","12","0","12","0","12"
"8600000US01543","ZCTA5 01543","31","32","31","32","0","17"
"8600000US01545","ZCTA5 01545","403","170","403","170","0","26"
"8600000US01550","ZCTA5 01550","1836","229","1722","243","114","80"
"8600000US01560","ZCTA5 01560","106","78","106","78","0","12"
"8600000US01561","ZCTA5 01561","0","12","0","12","0","12"
"8600000US01562","ZCTA5 01562","120","99","120","99","0","19"
"8600000US01564","ZCTA5 01564","70","84","70","84","0","17"
"8600000US01566","ZCTA5 01566","52","47","52","47","0","17"
"8600000US01568","ZCTA5 01568","81","73","67","71","14","23"
"8600000US01569","ZCTA5 01569","35","42","35","42","0","19"
"8600000US01570","ZCTA5 01570","625","170","557","149","68","63"
"8600000US01571","ZCTA5 01571","116","72","116","72","0","19"
"8600000US01581","ZCTA5 01581","171","97","171","97","0","19"
"8600000US01583","ZCTA5 01583","120","71","118","70","2","6"
"8600000US01585","ZCTA5 01585","0","12","0","12","0","12"
"8600000US01588","ZCTA5 01588","134","107","134","107","0","17"
"8600000US01590","ZCTA5 01590","0","17","0","17","0","17"
"8600000US01602","ZCTA5 01602","850","231","841","229","9","14"
"8600000US01603","ZCTA5 01603","1616","234","1524","219","92","60"
"8600000US01604","ZCTA5 01604","2153","256","2071","248","82","65"
"8600000US01605","ZCTA5 01605","2834","348","2674","351","160","119"
"8600000US01606","ZCTA5 01606","547","153","523","161","24","35"
"8600000US01607","ZCTA5 01607","456","154","444","151","12","20"
