Zip Code,GEO_ID,NAME,C24010I_001E,C24010I_001M,C24010I_002E,C24010I_002M,C24010I_003E,C24010I_003M,C24010I_004E,C24010I_004M,C24010I_005E,C24010I_005M,C24010I_006E,C24010I_006M,C24010I_007E,C24010I_007M,C24010I_008E,C24010I_008M,C24010I_009E,C24010I_009M,C24010I_010E,C24010I_010M,C24010I_011E,C24010I_011M,C24010I_012E,C24010I_012M,C24010I_013E,C24010I_013M
Chicago,id,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Male,Margin of Error!!Total!!Male,"Estimate!!Total!!Male!!Management, business, science, and arts occupations","Margin of Error!!Total!!Male!!Management, business, science, and arts occupations",Estimate!!Total!!Male!!Service occupations,Margin of Error!!Total!!Male!!Service occupations,Estimate!!Total!!Male!!Sales and office occupations,Margin of Error!!Total!!Male!!Sales and office occupations,"Estimate!!Total!!Male!!Natural resources, construction, and maintenance occupations","Margin of Error!!Total!!Male!!Natural resources, construction, and maintenance occupations","Estimate!!Total!!Male!!Production, transportation, and material moving occupations","Margin of Error!!Total!!Male!!Production, transportation, and material moving occupations",Estimate!!Total!!Female,Margin of Error!!Total!!Female,"Estimate!!Total!!Female!!Management, business, science, and arts occupations","Margin of Error!!Total!!Female!!Management, business, science, and arts occupations",Estimate!!Total!!Female!!Service occupations,Margin of Error!!Total!!Female!!Service occupations,Estimate!!Total!!Female!!Sales and office occupations,Margin of Error!!Total!!Female!!Sales and office occupations,"Estimate!!Total!!Female!!Natural resources, construction, and maintenance occupations","Margin of Error!!Total!!Female!!Natural resources, construction, and maintenance occupations","Estimate!!Total!!Female!!Production, transportation, and material moving occupations","Margin of Error!!Total!!Female!!Production, transportation, and material moving occupations"
60610,8600000US60610,60610,1617.0,298.0,848.0,276.0,467.0,172.0,144.0,190.0,71.0,60.0,13.0,29.0,153.0,4.0,769.0,207.0,336.0,133.0,118.0,93.0,248.0,84.0,23.0,37.0,44.0,79.0
60611,8600000US60611,60611,1074.0,288.0,551.0,195.0,328.0,117.0,91.0,104.0,62.0,68.0,50.0,54.0,20.0,32.0,523.0,214.0,303.0,137.0,109.0,156.0,111.0,47.0,0.0,23.0,0.0,23.0
60612,8600000US60612,60612,2308.0,350.0,1185.0,228.0,380.0,116.0,272.0,96.0,190.0,63.0,156.0,93.0,187.0,79.0,1123.0,231.0,384.0,109.0,231.0,90.0,385.0,123.0,0.0,23.0,123.0,78.0
60613,8600000US60613,60613,3774.0,586.0,2157.0,416.0,770.0,218.0,639.0,261.0,376.0,166.0,82.0,58.0,290.0,158.0,1617.0,306.0,833.0,218.0,284.0,129.0,422.0,192.0,17.0,28.0,61.0,49.0
60614,8600000US60614,60614,2507.0,355.0,1426.0,309.0,750.0,192.0,261.0,125.0,201.0,102.0,135.0,117.0,79.0,52.0,1081.0,189.0,599.0,165.0,117.0,56.0,342.0,92.0,0.0,26.0,23.0,21.0
60615,8600000US60615,60615,1345.0,281.0,767.0,256.0,282.0,87.0,237.0,169.0,162.0,92.0,18.0,20.0,68.0,62.0,578.0,134.0,287.0,110.0,125.0,69.0,160.0,68.0,0.0,23.0,6.0,11.0
60616,8600000US60616,60616,2414.0,399.0,1257.0,295.0,456.0,211.0,92.0,43.0,161.0,98.0,279.0,198.0,269.0,109.0,1157.0,308.0,521.0,184.0,187.0,110.0,398.0,161.0,0.0,26.0,51.0,43.0
60617,8600000US60617,60617,11886.0,705.0,7014.0,484.0,895.0,187.0,1176.0,247.0,626.0,163.0,1698.0,278.0,2619.0,317.0,4872.0,494.0,1203.0,220.0,1462.0,247.0,1460.0,285.0,65.0,45.0,682.0,145.0
60618,8600000US60618,60618,18480.0,1015.0,11222.0,725.0,2257.0,328.0,2980.0,487.0,1436.0,314.0,1486.0,297.0,3063.0,452.0,7258.0,537.0,1803.0,293.0,2144.0,407.0,2155.0,315.0,126.0,96.0,1030.0,240.0
60619,8600000US60619,60619,357.0,169.0,190.0,135.0,24.0,30.0,28.0,33.0,66.0,94.0,45.0,42.0,27.0,39.0,167.0,99.0,39.0,55.0,47.0,31.0,16.0,20.0,0.0,26.0,65.0,75.0
60620,8600000US60620,60620,259.0,108.0,103.0,60.0,18.0,20.0,34.0,41.0,20.0,16.0,21.0,26.0,10.0,15.0,156.0,80.0,17.0,15.0,71.0,64.0,54.0,38.0,0.0,26.0,14.0,18.0
60621,8600000US60621,60621,261.0,135.0,166.0,104.0,18.0,20.0,29.0,32.0,0.0,20.0,69.0,54.0,50.0,58.0,95.0,67.0,26.0,40.0,15.0,23.0,15.0,23.0,0.0,20.0,39.0,43.0
60622,8600000US60622,60622,5571.0,590.0,3093.0,419.0,1085.0,227.0,484.0,159.0,457.0,115.0,450.0,135.0,617.0,234.0,2478.0,382.0,1021.0,207.0,639.0,202.0,755.0,204.0,35.0,30.0,28.0,23.0
