"GEO_ID","NAME","B03003_001E","B03003_001M","B03003_002E","B03003_002M","B03003_003E","B03003_003M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino"
"8600000US29335","ZCTA5 29335","5939","586","5717","560","222","155"
"8600000US29164","ZCTA5 29164","5190","546","5172","548","18","24"
"8600000US29205","ZCTA5 29205","24756","832","23813","797","943","320"
"8600000US29301","ZCTA5 29301","35704","1292","30710","1087","4994","968"
"8600000US29360","ZCTA5 29360","20651","739","19317","758","1334","295"
"8600000US29431","ZCTA5 29431","6947","825","6920","823","27","27"
"8600000US29451","ZCTA5 29451","4430","66","4209","181","221","157"
"8600000US29493","ZCTA5 29493","164","85","164","85","0","12"
"8600000US29505","ZCTA5 29505","24850","1093","23947","1028","903","335"
"8600000US29543","ZCTA5 29543","582","288","582","288","0","12"
"8600000US29563","ZCTA5 29563","2192","377","2192","377","0","12"
"8600000US29564","ZCTA5 29564","765","204","765","204","0","12"
"8600000US29624","ZCTA5 29624","16094","1091","15600","1111","494","226"
"8600000US29627","ZCTA5 29627","19301","1302","18743","1339","558","333"
"8600000US29650","ZCTA5 29650","34886","1162","31254","1031","3632","713"
"8600000US29653","ZCTA5 29653","4682","491","4517","508","165","192"
"8600000US29655","ZCTA5 29655","6915","649","6804","642","111","96"
"8600000US29684","ZCTA5 29684","3915","700","3909","699","6","13"
"8600000US29702","ZCTA5 29702","9978","835","9740","800","238","186"
"8600000US29590","ZCTA5 29590","3288","455","2857","426","431","99"
"8600000US29560","ZCTA5 29560","13292","876","12709","870","583","343"
"8600000US29567","ZCTA5 29567","534","188","518","186","16","20"
"8600000US29574","ZCTA5 29574","11446","773","11085","784","361","107"
"8600000US29582","ZCTA5 29582","16548","429","15916","477","632","274"
"8600000US29625","ZCTA5 29625","28813","1152","27240","1147","1573","525"
"8600000US29635","ZCTA5 29635","1225","254","1220","255","5","7"
"8600000US29683","ZCTA5 29683","205","144","205","144","0","12"
"8600000US29686","ZCTA5 29686","935","333","924","330","11","20"
"8600000US29697","ZCTA5 29697","13430","998","12906","973","524","338"
"8600000US29001","ZCTA5 29001","2029","237","1918","240","111","94"
"8600000US29481","ZCTA5 29481","1603","286","1555","277","48","91"
"8600000US29512","ZCTA5 29512","18182","730","17484","720","698","141"
"8600000US29550","ZCTA5 29550","31952","1118","31226","1153","726","277"
"8600000US29579","ZCTA5 29579","40272","1580","38300","1645","1972","522"
"8600000US29584","ZCTA5 29584","2365","566","2347","561","18","30"
"8600000US29591","ZCTA5 29591","5350","747","5321","742","29","34"
"8600000US29532","ZCTA5 29532","20775","1148","20416","1145","359","157"
"8600000US29540","ZCTA5 29540","5383","964","5265","964","118","114"
"8600000US29545","ZCTA5 29545","1444","384","1389","353","55","88"
"8600000US29546","ZCTA5 29546","2965","409","2642","417","323","188"
"8600000US29554","ZCTA5 29554","8582","809","8567","807","15","24"
"8600000US29555","ZCTA5 29555","5824","646","5742","637","82","84"
"8600000US29556","ZCTA5 29556","12089","750","11898","705","191","137"
"8600000US29566","ZCTA5 29566","17603","1064","16579","1086","1024","459"
"8600000US29572","ZCTA5 29572","9395","513","9083","534","312","161"
"8600000US29576","ZCTA5 29576","31037","1330","30589","1337","448","201"
"8600000US29583","ZCTA5 29583","4985","542","4931","548","54","79"
"8600000US29596","ZCTA5 29596","2170","430","2077","410","93","107"
"8600000US29605","ZCTA5 29605","37130","1409","33924","1335","3206","612"
"8600000US29609","ZCTA5 29609","29191","1010","26376","974","2815","663"
"8600000US29611","ZCTA5 29611","30274","1474","24301","1238","5973","1013"
"8600000US29628","ZCTA5 29628","2505","293","2482","287","23","34"
"8600000US29645","ZCTA5 29645","9643","651","9212","620","431","188"
"8600000US29659","ZCTA5 29659","89","44","89","44","0","12"
"8600000US29665","ZCTA5 29665","140","125","72","56","68","111"
"8600000US29672","ZCTA5 29672","12153","702","11783","703","370","217"
"8600000US29685","ZCTA5 29685","1704","351","1704","351","0","12"
"8600000US29691","ZCTA5 29691","11113","879","9499","863","1614","345"
"8600000US29704","ZCTA5 29704","3693","642","3612","618","81","76"
"8600000US29849","ZCTA5 29849","518","229","518","229","0","12"
"8600000US29743","ZCTA5 29743","861","277","838","275","23","31"
"8600000US29829","ZCTA5 29829","11879","873","11034","954","845","425"
"8600000US29847","ZCTA5 29847","5506","652","5182","655","324","217"
"8600000US29851","ZCTA5 29851","7328","735","7068","728","260","158"
"8600000US29910","ZCTA5 29910","41018","1642","32366","1240","8652","1083"
"8600000US29923","ZCTA5 29923","377","138","377","138","0","12"
"8600000US29941","ZCTA5 29941","587","251","587","251","0","12"
"8600000US29935","ZCTA5 29935","3928","557","3569","531","359","263"
"8600000US29936","ZCTA5 29936","13666","900","12826","984","840","350"
"8600000US29075","ZCTA5 29075","3028","588","2611","588","417","290"
"8600000US29081","ZCTA5 29081","1317","247","1224","240","93","112"
"8600000US29111","ZCTA5 29111","1663","254","1619","276","44","59"
"8600000US29122","ZCTA5 29122","40","27","40","27","0","12"
"8600000US29142","ZCTA5 29142","5187","866","5176","867","11","13"
"8600000US29152","ZCTA5 29152","1827","358","1686","345","141","110"
"8600000US29161","ZCTA5 29161","11261","1058","10790","949","471","386"
"8600000US29166","ZCTA5 29166","849","199","832","204","17","22"
"8600000US29170","ZCTA5 29170","21555","1192","20494","1197","1061","355"
"8600000US29206","ZCTA5 29206","19182","832","18097","822","1085","403"
"8600000US29229","ZCTA5 29229","50866","2829","47558","2699","3308","973"
"8600000US29323","ZCTA5 29323","12489","919","12128","913","361","188"
"8600000US29330","ZCTA5 29330","8987","945","8524","948","463","301"
"8600000US29341","ZCTA5 29341","20482","1164","19392","1222","1090","309"
"8600000US29351","ZCTA5 29351","1329","299","1319","302","10","18"
"8600000US29355","ZCTA5 29355","928","327","928","327","0","12"
"8600000US29356","ZCTA5 29356","8459","573","8137","617","322","257"
"8600000US29379","ZCTA5 29379","17485","650","17142","649","343","52"
"8600000US29670","ZCTA5 29670","9297","727","9001","776","296","227"
"8600000US29680","ZCTA5 29680","32031","1356","29695","1380","2336","531"
"8600000US29681","ZCTA5 29681","57959","1721","54254","1758","3705","751"
"8600000US29709","ZCTA5 29709","7081","559","7071","563","10","15"
"8600000US29724","ZCTA5 29724","39","56","39","56","0","12"
"8600000US29730","ZCTA5 29730","55937","1306","53308","1248","2629","604"
"8600000US29745","ZCTA5 29745","30697","1303","29957","1278","740","361"
"8600000US29812","ZCTA5 29812","11357","598","11007","605","350","147"
"8600000US29831","ZCTA5 29831","4332","349","4125","356","207","140"
"8600000US29842","ZCTA5 29842","7462","920","6943","917","519","497"
"8600000US29843","ZCTA5 29843","1195","328","1189","328","6","19"
"8600000US29212","ZCTA5 29212","29586","1170","28153","1257","1433","404"
"8600000US29303","ZCTA5 29303","25089","1138","22201","1157","2888","614"
"8600000US29365","ZCTA5 29365","11211","604","10843","645","368","193"
"8600000US29388","ZCTA5 29388","15721","1240","15236","1235","485","314"
"8600000US29401","ZCTA5 29401","9627","676","9256","644","371","173"
"8600000US29405","ZCTA5 29405","29677","1035","28486","1046","1191","322"
"8600000US29412","ZCTA5 29412","40275","1315","39418","1279","857","228"
"8600000US29423","ZCTA5 29423","1035","218","977","212","58","35"
"8600000US29426","ZCTA5 29426","1888","435","1875","434","13","22"
"8600000US29003","ZCTA5 29003","6510","497","6348","496","162","120"
"8600000US29030","ZCTA5 29030","1928","440","1900","438","28","40"
"8600000US29051","ZCTA5 29051","2007","339","1906","313","101","100"
"8600000US29054","ZCTA5 29054","9260","622","8801","621","459","225"
"8600000US29063","ZCTA5 29063","39090","1454","38170","1387","920","383"
"8600000US29018","ZCTA5 29018","2971","354","2954","355","17","30"
"8600000US29033","ZCTA5 29033","12541","359","12314","371","227","121"
"8600000US29052","ZCTA5 29052","2111","878","2111","878","0","12"
"8600000US29069","ZCTA5 29069","4393","494","4393","494","0","12"
"8600000US29079","ZCTA5 29079","10","18","10","18","0","12"
"8600000US29108","ZCTA5 29108","20890","782","18653","792","2237","283"
"8600000US29138","ZCTA5 29138","11196","539","8307","518","2889","235"
"8600000US29112","ZCTA5 29112","3841","444","3771","438","70","63"
